Buy Date, Sell Date, Buy Price, Sell Price, % Change
2016-10-17,2016-10-20,111.45313262939453,110.98857879638672,-0.41681541114914483%
2016-11-18,2016-11-30,104.88740539550781,105.32576751708984,0.4179358998623925%
2016-12-08,2016-12-28,106.85057830810547,111.27250671386719,4.13842252964791%
2017-01-06,2017-03-09,112.36846923828125,132.73529052734375,18.12503225070544%
2017-03-14,2017-04-06,133.0320281982422,137.50184631347656,3.359956377251893%
2017-04-20,2017-05-18,136.33413696289062,146.60379028320312,7.532708644429855%
2017-05-24,2017-05-30,147.3726806640625,147.68984985351562,0.21521572928168098%
2017-06-01,2017-06-08,147.21890258789062,148.95848083496094,1.1816269626325826%
2017-06-22,2017-06-27,139.96275329589844,138.1366424560547,-1.304712001473083%
2017-07-10,2017-07-31,139.4148712158203,142.94207763671875,2.5300073013288285%
2017-08-03,2017-08-15,149.51589965820312,155.92112731933594,4.283977607582414%
2017-08-17,2017-08-21,152.31256103515625,151.6854248046875,-0.4117429489771343%
2017-08-24,2017-09-07,153.6730194091797,155.5930938720703,1.2494545042927223%
2017-09-29,2017-10-23,148.7039794921875,150.68197631835938,1.3301572916384483%
2017-10-26,2017-11-14,151.87835693359375,165.9131317138672,9.240799718691918%
2017-11-21,2017-11-29,167.65615844726562,164.11212158203125,-2.113872164349461%
2017-12-11,2017-12-22,167.20103454589844,169.4669189453125,1.3551856336104509%
2018-01-04,2018-01-23,167.54962158203125,171.43263244628906,2.3175288774715104%
2018-02-12,2018-03-05,158.19888305664062,171.91770935058594,8.671885685206451%
2018-03-08,2018-03-16,172.03436279296875,173.0844268798828,0.6103804320638783%
2018-03-29,2018-04-03,163.12831115722656,163.72142028808594,0.36358442421911896%
2018-04-05,2018-04-20,168.00912475585938,161.1254119873047,-4.0972255397185595%
2018-05-01,2018-05-17,164.4116973876953,182.5067901611328,11.005964332797983%
2018-05-23,2018-06-12,183.84396362304688,187.66993713378906,2.0810982505723996%
2018-06-29,2018-09-07,180.67184448242188,216.75169372558594,19.969823934948746%
2018-09-14,2018-09-18,219.23948669433594,213.7545928955078,-2.501781901394055%
2018-09-25,2018-10-08,217.62339782714844,219.1709442138672,0.7111121332403414%
2018-10-17,2018-10-22,216.6439666748047,216.1150360107422,-0.24414742408056808%
2018-10-25,2018-10-29,215.2825164794922,207.87789916992188,-3.4394884594707325%
2019-03-21,2019-03-27,192.56942749023438,186.03497314453125,-3.3932979034454998%
2019-04-01,2019-04-16,188.7692108154297,196.6757049560547,4.188444771512885%
2019-04-18,2019-04-29,201.2261505126953,201.96646118164062,0.36789983163674667%
2019-05-02,2019-05-08,206.4477996826172,200.27853393554688,-2.9882932908728703%
2019-06-07,2019-06-26,188.41607666015625,197.97808837890625,5.074944711855391%
2019-07-01,2019-07-10,199.71214294433594,201.37681579589844,0.8335361220506657%
2019-07-12,2019-08-02,201.44618225097656,202.15960693359375,0.35415150321804073%
2019-08-12,2019-08-26,199.40664672851562,205.3844757080078,2.9978082865165314%
2019-09-03,2019-09-18,204.59869384765625,221.57733154296875,8.29850737363688%
2019-09-27,2019-11-21,217.6484832763672,261.3896484375,20.097160569499977%
2019-11-27,2019-12-03,267.2058410644531,258.8357238769531,-3.13246041110345%
2019-12-09,2020-01-27,266.28802490234375,308.218505859375,15.746288618276576%
2020-01-29,2020-02-04,323.5720520019531,318.0950622558594,-1.692664651414545%
2020-02-07,2020-02-19,320.0299987792969,323.6199951171875,1.1217686940549607%
-, -, -, -, - 
Total Profit:,230.43817138671875, -, - , -
Gain %:,206.75791334908%, -, - , -
Winning Trades:,31, -, - , -
Losing Trades:,12, -, - , -
Ratio:,2.5833333333333335, -, - , -
Avg Win%:,5.153947387217277%, -, - , -
Avg Loss%:,-2.1447085089540923%, -, - , -
Avg Trade%:,3.1171131836345705%, -, - , -
