Buy Date, Sell Date, Buy Price, Sell Price, % Change
1/20/2016,2/1/2016,171.7064362,179.1055603,4.309171085108104%
2/11/2016,4/20/2016,169.1259766,195.3223419,15.489261807461455%
5/19/2016,6/8/2016,189.8373108,197.4326782,4.000987670965252%
6/27/2016,8/23/2016,186.5258636,204.6270599,9.70438948821465%
11/4/2016,12/13/2016,195.8740997,213.9164429,9.211193939185215%
12/30/2016,3/1/2017,211.1809998,226.5332489,7.269711344552501%
3/27/2017,5/16/2017,221.6737671,227.8034363,2.7651757265598413%
5/18/2017,6/9/2017,224.6627045,230.9631195,2.80438847828435%
7/7/2017,8/8/2017,230.8499298,235.7604065,2.127129388453457%
8/21/2017,1/26/2018,231.6031647,276.0114136,19.174284150012745%
2/9/2018,2/27/2018,251.8563232,264.3095093,4.944559636928747%
3/2/2018,3/12/2018,259.1567993,268.2486877,3.5082577129204484%
4/4/2018,4/18/2018,254.8570404,261.4614868,2.5914318041339075%
5/3/2018,5/14/2018,253.9480438,263.9659729,3.9448735064443934%
5/29/2018,6/12/2018,260.1366882,269.7098389,3.6800463503402296%
7/2/2018,7/25/2018,264.0634155,275.8649292,4.469196794131441%
8/2/2018,8/8/2018,274.2914124,277.2733459,1.0871406705403541%
8/15/2018,8/29/2018,273.6989136,283.120697,3.442389769134977%
9/11/2018,9/20/2018,280.7603455,285.1604919,1.567225026797804%
10/30/2018,11/8/2018,261.2680664,273.6889343,4.754070434686701%
11/23/2018,12/3/2018,256.8578491,272.5180664,6.096842029500588%
12/26/2018,3/4/2019,241.605011,274.2076416,13.494186426456196%
3/8/2019,3/21/2019,269.359436,280.6694641,4.198860922770869%
3/28/2019,4/29/2019,276.7067871,289.6790771,4.68809967979278%
6/3/2019,6/20/2019,270.6543274,291.6407166,7.753945559120597%
6/27/2019,7/3/2019,288.740448,295.971344,2.5042892501157206%
7/9/2019,7/15/2019,294.3765869,297.9028625,1.1978790966816593%
7/22/2019,7/26/2019,295.079834,299.1509399,1.37966252888702%
8/5/2019,8/8/2019,281.1331482,290.8403625,3.4528885555303694%
8/15/2019,8/19/2019,281.9552917,289.562561,2.698040974557826%
8/28/2019,9/12/2019,286.1551514,298.4377747,4.292295015451521%
10/3/2019,11/27/2019,288.9991455,313.9365234,8.62887599783578%
12/3/2019,1/17/2020,308.0355225,331.9500122,7.76354931597215%
2/3/2020,2/19/2020,324.1199951,338.3399963,4.387264412864362%

Total Profit:,444.23110920000005
Gain %:,258.7154675335344%
Winning Trades:,34
Losing Trades:,0
Ratio:,100
Avg Win%:,5.393575427952765%
Avg Loss%:,%
Avg Trade%:,5.393575427952765%
