Date,High,Low,Open,Close,Volume,AdjClose,%Change,MA5,MA10,MA15,MA20,MA25,MA30,MA50,MA100,MA200,EMA5,EMA10,EMA15,EMA20,EMA25,EMA30,EMA50,EMA100,EMA200,UpperBand,LowerBand,Sto%K,Sto%D,CCI,ROC,ForceIndex,RSI(14),Rating
1/4/2016,201.0299988,198.5899963,200.4900055,201.0200043,222353500,185.9220734,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Hold
1/5/2016,201.8999939,200.0500031,201.3999939,201.3600006,110845800,186.2365265,0.0017,0,0,0,0,0,0,0,0,0,0.0007,0.0008,0.0008,0.0008,0.0008,0.0008,0.0008,0.0008,0.0008,0,0,0,0,0,0,0,0,Hold
1/6/2016,200.0599976,197.6000061,198.3399963,198.8200073,152112600,183.8872833,-0.0126,0,0,0,0,0,0,0,0,0,-0.0063,-0.0071,-0.0074,-0.0075,-0.0076,-0.0076,-0.0077,-0.0078,-0.0078,0,0,0,0,0,0,0,0,Hold
1/7/2016,197.4400024,193.5899963,195.3300018,194.0500031,213436100,179.4755249,-0.024,0,0,0,0,0,0,0,0,0,-0.0179,-0.021,-0.022,-0.0225,-0.0228,-0.023,-0.0234,-0.0237,-0.0238,0,0,0,0,0,0,0,0,Hold
1/8/2016,195.8500061,191.5800018,195.1900024,191.9199982,209817200,177.5055237,-0.011,0,0,0,0,0,0,0,0,0,-0.0178,-0.0228,-0.0245,-0.0254,-0.0259,-0.0262,-0.0269,-0.0274,-0.0277,0,0,0,0,0,0,0,0,Hold
1/11/2016,193.4100037,189.8200073,193.0099945,192.1100006,187941300,177.6812286,0.001,-0.027,0,0,0,0,0,0,0,0,-0.0108,-0.0163,-0.0183,-0.0194,-0.02,-0.0204,-0.0213,-0.0219,-0.0223,0,0,0,0,0,0,0,0,Hold
1/12/2016,194.5500031,191.1399994,193.8200073,193.6600037,172330500,179.1148529,0.0081,-0.0102,0,0,0,0,0,0,0,0,-0.0018,-0.0063,-0.0083,-0.0093,-0.0099,-0.0104,-0.0113,-0.0119,-0.0123,0,0,0,0,0,0,0,0,Hold
1/13/2016,194.8600006,188.3800049,194.4499969,188.8300018,221168900,174.6476288,-0.0249,-0.0272,0,0,0,0,0,0,0,0,-0.0176,-0.0242,-0.0269,-0.0283,-0.0292,-0.0298,-0.0309,-0.0318,-0.0323,0,0,0,0,0,0,0,0,Hold
1/14/2016,193.2599945,187.6600037,189.5500031,191.9299927,240795600,177.51474,0.0164,-0.001,0,0,0,0,0,0,0,0,-0.001,-0.0064,-0.009,-0.0104,-0.0113,-0.0119,-0.0131,-0.0141,-0.0145,0,0,0,0,0,0,-20244.48884,0,Hold
1/15/2016,188.7599945,185.5200043,186.7700043,187.8099976,324846400,173.7042084,-0.0215,-0.0202,0,0,0,0,0,0,0,0,-0.0149,-0.022,-0.0253,-0.027,-0.0281,-0.0288,-0.0303,-0.0315,-0.0321,0,0,0,0,0,-6.571497816,-40710.78423,0,Hold
